docid,term,count
14282_txt_earn,1,2
14859_txt_earn,1,1
15366_txt_acq,1,1
15736_txt_earn,1,1
15778_txt_acq,1,1
1588_txt_trade,1,1
16215_txt_acq,1,1
16409_txt_acq,1,1
16457_txt_acq,1,1
16486_txt_earn,1,1
16496_txt_earn,1,1
16591_txt_acq,1,1
17023_txt_trade,1,1
17075_txt_trade,1,1
17292_txt_interest,1,1
17448_txt_interest,1,1
17449_txt_trade,1,2
17452_txt_trade,1,1
17470_txt_interest,1,1
17478_txt_crude,1,1
17488_txt_acq,1,1
17489_txt_earn,1,1
17502_txt_acq,1,1
17506_txt_acq,1,1
17511_txt_trade,1,2
17513_txt_acq,1,1
17519_txt_crude,1,1
17545_txt_earn,1,1
17573_txt_acq,1,1
17579_txt_acq,1,1
17593_txt_interest,1,1
17595_txt_acq,1,1
17597_txt_acq,1,1
17616_txt_earn,1,1
17618_txt_crude,1,1
17625_txt_acq,1,1
17630_txt_earn,1,1
17651_txt_acq,1,1
17659_txt_acq,1,1
17666_txt_acq,1,1
17672_txt_earn,1,1
17673_txt_acq,1,1
17694_txt_acq,1,1
17706_txt_acq,1,1
17712_txt_earn,1,1
17716_txt_acq,1,1
17738_txt_acq,1,1
17746_txt_acq,1,1
17758_txt_interest,1,1
17771_txt_crude,1,1
17780_txt_crude,1,1
17798_txt_acq,1,1
17809_txt_acq,1,1
17812_txt_acq,1,1
17813_txt_crude,1,1
17816_txt_crude,1,2
17822_txt_acq,1,1
17847_txt_acq,1,1
17860_txt_acq,1,1
17863_txt_acq,1,1
17864_txt_acq,1,1
17899_txt_interest,1,1
18138_txt_acq,1,1
18448_txt_crude,1,1
18621_txt_crude,1,1
18992_txt_trade,1,1
19069_txt_crude,1,1
19509_txt_crude,1,1
19539_txt_trade,1,1
19546_txt_trade,1,1
19559_txt_crude,1,1
19760_txt_acq,1,1
19775_txt_interest,1,1
19833_txt_acq,1,3
20270_txt_crude,1,1
20797_txt_acq,1,1
20989_txt_trade,1,1
21114_txt_earn,1,1
2238_txt_earn,1,1
225_txt_interest,1,1
233_txt_interest,1,1
236_txt_crude,1,1
237_txt_crude,1,1
2383_txt_crude,1,1
242_txt_crude,1,1
246_txt_crude,1,1
248_txt_crude,1,1
2522_txt_crude,1,1
2522_txt_crude,1,1
2897_txt_acq,1,1
3446_txt_trade,1,1
3452_txt_crude,1,1
3571_txt_crude,1,1
3825_txt_interest,1,1
4074_txt_earn,1,1
4259_txt_trade,1,2
4344_txt_earn,1,1
5053_txt_earn,1,1
5057_txt_trade,1,2
5167_txt_crude,1,1
5273_txt_crude,1,1
5850_txt_trade,1,1
6096_txt_acq,1,1
6348_txt_crude,1,1
6432_txt_crude,1,1
6647_txt_earn,1,1
686_txt_earn,1,1
6922_txt_interest,1,1
7011_txt_trade,1,1
7519_txt_earn,1,1
7690_txt_earn,1,1
7894_txt_earn,1,1
7930_txt_acq,1,2
8069_txt_crude,1,1
8125_txt_earn,1,1
8322_txt_earn,1,1
883_txt_earn,1,1
8992_txt_earn,1,1
9081_txt_acq,1,1
9110_txt_acq,1,1
9117_txt_earn,1,1
9181_txt_earn,1,1
9328_txt_earn,1,1
939_txt_acq,1,1
9445_txt_crude,1,1
9588_txt_earn,1,2
9628_txt_trade,1,1
9657_txt_trade,1,1
10905_txt_trade,2,1
11855_txt_earn,2,1
12395_txt_acq,2,1
12397_txt_earn,2,1
12398_txt_interest,2,1
12454_txt_acq,2,1
12457_txt_trade,2,1
12463_txt_earn,2,1
12469_txt_interest,2,1
12472_txt_trade,2,1
12473_txt_trade,2,1
12483_txt_interest,2,1
12492_txt_acq,2,1
12503_txt_crude,2,1
12504_txt_acq,2,1
12506_txt_earn,2,1
12509_txt_interest,2,1
12514_txt_interest,2,1
12521_txt_earn,2,1
12538_txt_acq,2,1
12546_txt_acq,2,1
12559_txt_earn,2,1
12563_txt_trade,2,1
12564_txt_trade,2,1
12571_txt_interest,2,1
12592_txt_interest,2,1
12600_txt_acq,2,1
12602_txt_trade,2,1
12604_txt_trade,2,1
12609_txt_crude,2,1
12623_txt_trade,2,1
12627_txt_interest,2,1
12629_txt_acq,2,1
12630_txt_earn,2,1
12632_txt_interest,2,1
12636_txt_acq,2,1
12657_txt_interest,2,1
12672_txt_earn,2,1
12680_txt_crude,2,1
12687_txt_interest,2,1
12694_txt_interest,2,1
12696_txt_interest,2,1
12697_txt_acq,2,1
12698_txt_acq,2,1
12702_txt_acq,2,1
12715_txt_earn,2,1
12717_txt_acq,2,1
12940_txt_crude,2,1
13182_txt_acq,2,1
16677_txt_acq,2,1
1684_txt_acq,2,1
17077_txt_interest,2,1
17083_txt_trade,2,1
17875_txt_crude,2,1
17892_txt_crude,2,1
17899_txt_interest,2,1
17929_txt_crude,2,1
17943_txt_interest,2,1
17948_txt_trade,2,1
17957_txt_acq,2,1
17960_txt_acq,2,1
17963_txt_crude,2,1
17967_txt_earn,2,1
17972_txt_earn,2,1
17975_txt_earn,2,1
17978_txt_acq,2,1
17981_txt_acq,2,1
17993_txt_acq,2,1
18028_txt_earn,2,1
18040_txt_acq,2,1
18052_txt_earn,2,1
18061_txt_trade,2,1
18066_txt_crude,2,1
18075_txt_acq,2,1
18085_txt_crude,2,1
18096_txt_earn,2,1
18104_txt_trade,2,1
18108_txt_crude,2,1
18138_txt_acq,2,1
18148_txt_trade,2,1
18155_txt_earn,2,2
18157_txt_acq,2,1
18182_txt_acq,2,1
18186_txt_crude,2,1
18188_txt_acq,2,1
18205_txt_acq,2,2
18210_txt_acq,2,1
18229_txt_acq,2,1
18234_txt_crude,2,1
18238_txt_acq,2,1
18239_txt_acq,2,1
18243_txt_earn,2,1
18252_txt_acq,2,1
18257_txt_trade,2,1
18302_txt_trade,2,1
18313_txt_acq,2,1
18332_txt_crude,2,1
18355_txt_earn,2,1
1909_txt_crude,2,1
19450_txt_earn,2,1
2121_txt_crude,2,1
21357_txt_acq,2,1
2522_txt_crude,2,6
271_txt_trade,2,1
273_txt_crude,2,1
2802_txt_acq,2,1
2862_txt_trade,2,1
299_txt_earn,2,1
322_txt_interest,2,1
331_txt_acq,2,1
338_txt_trade,2,1
342_txt_trade,2,1
349_txt_crude,2,1
352_txt_crude,2,1
353_txt_crude,2,1
354_txt_trade,2,1
366_txt_acq,2,1
372_txt_acq,2,1
393_txt_acq,2,1
3948_txt_acq,2,1
3991_txt_acq,2,1
404_txt_earn,2,1
410_txt_earn,2,1
423_txt_earn,2,1
436_txt_acq,2,1
4425_txt_crude,2,1
449_txt_earn,2,1
470_txt_earn,2,1
474_txt_acq,2,1
489_txt_crude,2,1
502_txt_crude,2,1
504_txt_acq,2,1
529_txt_earn,2,1
543_txt_crude,2,1
546_txt_earn,2,1
551_txt_acq,2,1
552_txt_earn,2,1
679_txt_acq,2,1
686_txt_earn,2,1
690_txt_earn,2,1
696_txt_earn,2,1
704_txt_crude,2,1
714_txt_acq,2,1
718_txt_trade,2,1
725_txt_acq,2,1
731_txt_earn,2,1
732_txt_acq,2,1
735_txt_acq,2,1
757_txt_acq,2,1
758_txt_earn,2,1
787_txt_acq,2,1
791_txt_crude,2,1
797_txt_acq,2,1
8103_txt_interest,2,1
817_txt_earn,2,1
8184_txt_interest,2,1
820_txt_acq,2,1
835_txt_crude,2,1
837_txt_earn,2,1
844_txt_acq,2,1
848_txt_earn,2,1
849_txt_acq,2,1
853_txt_acq,2,1
939_txt_acq,2,1
1009_txt_earn,3,1
1011_txt_earn,3,1
1013_txt_earn,3,1
1015_txt_earn,3,1
1022_txt_trade,3,1
1066_txt_earn,3,1
1078_txt_interest,3,1
1090_txt_earn,3,1
1103_txt_acq,3,1
1117_txt_earn,3,1
1125_txt_interest,3,1
11253_txt_acq,3,1
1137_txt_earn,3,1
1152_txt_earn,3,1
1182_txt_earn,3,1
1197_txt_trade,3,1
1201_txt_trade,3,1
1210_txt_trade,3,1
1225_txt_earn,3,1
1226_txt_trade,3,1
1228_txt_acq,3,1
1238_txt_acq,3,1
1243_txt_acq,3,1
1244_txt_earn,3,1
1258_txt_earn,3,1
12616_txt_earn,3,1
12731_txt_interest,3,1
12732_txt_interest,3,1
12755_txt_trade,3,1
12759_txt_acq,3,1
1276_txt_acq,3,1
12774_txt_interest,3,1
12775_txt_crude,3,1
12783_txt_earn,3,2
1280_txt_acq,3,1
12803_txt_crude,3,1
12810_txt_interest,3,1
12822_txt_acq,3,1
12846_txt_interest,3,1
12848_txt_trade,3,1
12858_txt_acq,3,1
12862_txt_earn,3,1
1288_txt_earn,3,1
12880_txt_interest,3,1
12883_txt_acq,3,1
12886_txt_earn,3,1
12889_txt_acq,3,1
12890_txt_acq,3,1
12891_txt_interest,3,1
12908_txt_interest,3,1
12912_txt_interest,3,1
12919_txt_interest,3,1
12929_txt_earn,3,1
12949_txt_earn,3,1
13005_txt_acq,3,1
13008_txt_interest,3,1
13024_txt_interest,3,1
13041_txt_acq,3,1
13043_txt_acq,3,1
13045_txt_trade,3,1
13046_txt_trade,3,1
13056_txt_crude,3,1
13059_txt_earn,3,1
1306_txt_crude,3,1
13062_txt_earn,3,1
13085_txt_acq,3,1
13095_txt_acq,3,1
13096_txt_crude,3,1
13103_txt_acq,3,1
13105_txt_interest,3,1
13115_txt_crude,3,1
1314_txt_earn,3,1
13142_txt_crude,3,1
13144_txt_interest,3,1
1315_txt_earn,3,1
13163_txt_acq,3,1
13174_txt_earn,3,1
13182_txt_acq,3,1
13184_txt_crude,3,1
13188_txt_acq,3,1
13194_txt_acq,3,1
13200_txt_crude,3,1
13205_txt_acq,3,1
13212_txt_acq,3,1
1327_txt_earn,3,1
1335_txt_crude,3,1
1343_txt_crude,3,1
1344_txt_earn,3,1
1347_txt_trade,3,1
1351_txt_earn,3,1
1354_txt_acq,3,2
1356_txt_trade,3,1
1359_txt_earn,3,1
1360_txt_earn,3,1
1375_txt_earn,3,1
1384_txt_earn,3,1
1387_txt_crude,3,1
1409_txt_acq,3,1
14622_txt_earn,3,1
15276_txt_acq,3,1
1835_txt_acq,3,1
18362_txt_interest,3,1
19512_txt_interest,3,1
19561_txt_earn,3,1
19760_txt_acq,3,1
202_txt_earn,3,1
225_txt_interest,3,1
2268_txt_acq,3,1
2522_txt_crude,3,3
2540_txt_acq,3,1
299_txt_earn,3,1
3607_txt_acq,3,1
3903_txt_earn,3,1
4014_txt_earn,3,1
5053_txt_earn,3,1
5057_txt_trade,3,1
5516_txt_acq,3,1
5604_txt_earn,3,1
6352_txt_interest,3,1
6528_txt_earn,3,1
7085_txt_earn,3,1
7146_txt_earn,3,1
8103_txt_interest,3,1
8184_txt_interest,3,1
8624_txt_trade,3,1
8644_txt_earn,3,1
873_txt_crude,3,1
883_txt_earn,3,1
894_txt_trade,3,1
904_txt_acq,3,1
918_txt_crude,3,1
924_txt_trade,3,1
925_txt_trade,3,1
930_txt_crude,3,1
945_txt_crude,3,1
952_txt_crude,3,1
9578_txt_earn,3,1
960_txt_acq,3,1
982_txt_acq,3,1
991_txt_trade,3,1
998_txt_earn,3,1
10243_txt_earn,4,1
13231_txt_interest,4,1
13236_txt_crude,4,1
13256_txt_crude,4,1
1427_txt_interest,4,1
1438_txt_earn,4,1
1446_txt_earn,4,1
1452_txt_earn,4,1
1460_txt_earn,4,1
1461_txt_earn,4,1
1467_txt_earn,4,1
1477_txt_acq,4,1
1478_txt_trade,4,1
1480_txt_acq,4,1
1497_txt_acq,4,1
1499_txt_trade,4,1
1541_txt_earn,4,1
1569_txt_earn,4,1
1581_txt_acq,4,1
1588_txt_trade,4,1
1602_txt_earn,4,1
1616_txt_crude,4,1
1622_txt_acq,4,1
1628_txt_acq,4,1
1643_txt_earn,4,1
1649_txt_acq,4,1
1656_txt_trade,4,1
1665_txt_acq,4,1
1675_txt_trade,4,1
1676_txt_acq,4,1
1677_txt_earn,4,1
1679_txt_acq,4,1
1680_txt_trade,4,1
1684_txt_acq,4,1
1686_txt_crude,4,1
1689_txt_earn,4,1
1692_txt_crude,4,1
1694_txt_acq,4,1
1711_txt_crude,4,1
1718_txt_earn,4,1
17199_txt_crude,4,1
1729_txt_acq,4,1
1739_txt_acq,4,1
1771_txt_acq,4,1
1797_txt_earn,4,1
1798_txt_acq,4,1
1808_txt_acq,4,1
1809_txt_trade,4,1
1814_txt_earn,4,1
1824_txt_earn,4,1
1835_txt_acq,4,1
1836_txt_acq,4,1
1839_txt_trade,4,1
1846_txt_earn,4,1
1847_txt_acq,4,1
1863_txt_trade,4,1
1871_txt_trade,4,1
1875_txt_crude,4,1
1886_txt_acq,4,1
19483_txt_interest,4,1
2033_txt_earn,4,1
2175_txt_crude,4,1
2470_txt_acq,4,1
2522_txt_crude,4,2
2552_txt_acq,4,1
2725_txt_interest,4,1
3008_txt_earn,4,1
3048_txt_crude,4,1
3762_txt_interest,4,1
4453_txt_crude,4,1
4474_txt_crude,4,1
4481_txt_crude,4,1
5210_txt_earn,4,1
6528_txt_earn,4,1
1013_txt_earn,5,1
11397_txt_trade,5,1
12883_txt_acq,5,1
13039_txt_trade,5,1
13256_txt_crude,5,1
13263_txt_earn,5,1
13266_txt_crude,5,1
16077_txt_crude,5,1
17054_txt_crude,5,1
17074_txt_trade,5,1
17086_txt_acq,5,1
18302_txt_trade,5,1
18520_txt_interest,5,1
1909_txt_crude,5,1
1932_txt_trade,5,1
1948_txt_crude,5,1
1951_txt_trade,5,1
1963_txt_trade,5,1
1971_txt_interest,5,1
1990_txt_crude,5,1
1995_txt_interest,5,1
2039_txt_acq,5,1
2046_txt_crude,5,1
2064_txt_interest,5,1
2079_txt_earn,5,1
2089_txt_earn,5,1
2107_txt_acq,5,1
2109_txt_earn,5,1
2121_txt_crude,5,1
2128_txt_acq,5,1
2137_txt_earn,5,1
2149_txt_earn,5,1
21491_txt_interest,5,1
2151_txt_acq,5,1
2155_txt_interest,5,1
2205_txt_earn,5,1
2211_txt_earn,5,1
2213_txt_earn,5,1
2219_txt_acq,5,1
2225_txt_acq,5,1
2227_txt_earn,5,1
2228_txt_interest,5,1
2231_txt_crude,5,1
2236_txt_earn,5,1
2238_txt_earn,5,1
2253_txt_earn,5,1
2268_txt_acq,5,1
2279_txt_earn,5,1
2298_txt_earn,5,1
2301_txt_acq,5,1
2309_txt_earn,5,1
2316_txt_earn,5,1
2322_txt_acq,5,1
2325_txt_acq,5,1
2335_txt_earn,5,1
2339_txt_earn,5,1
2342_txt_earn,5,1
2353_txt_earn,5,1
2374_txt_acq,5,1
2383_txt_crude,5,1
2409_txt_earn,5,1
2417_txt_trade,5,1
2449_txt_crude,5,1
2470_txt_acq,5,1
2474_txt_acq,5,1
2496_txt_earn,5,1
2499_txt_trade,5,1
2500_txt_acq,5,1
2517_txt_crude,5,1
2520_txt_acq,5,1
2522_txt_crude,5,2
2530_txt_crude,5,1
2538_txt_acq,5,1
2540_txt_acq,5,1
2546_txt_acq,5,1
2552_txt_acq,5,1
2585_txt_crude,5,1
2609_txt_acq,5,1
3007_txt_interest,5,1
3043_txt_interest,5,1
3078_txt_trade,5,1
3111_txt_interest,5,1
322_txt_interest,5,1
3539_txt_interest,5,1
354_txt_trade,5,1
3825_txt_interest,5,1
5270_txt_crude,5,1
6453_txt_interest,5,2
10146_txt_acq,6,1
11253_txt_acq,6,2
11580_txt_trade,6,1
12731_txt_interest,6,1
13095_txt_acq,6,1
13262_txt_interest,6,1
13276_txt_crude,6,1
13280_txt_crude,6,1
13281_txt_crude,6,1
13290_txt_crude,6,1
13291_txt_crude,6,1
15736_txt_earn,6,3
20216_txt_acq,6,1
2522_txt_crude,6,3
2522_txt_crude,6,1
2568_txt_earn,6,1
2579_txt_earn,6,1
2584_txt_earn,6,1
2585_txt_crude,6,1
2596_txt_acq,6,1
2608_txt_earn,6,1
2609_txt_acq,6,1
2619_txt_earn,6,1
2620_txt_trade,6,1
2638_txt_acq,6,1
2648_txt_trade,6,1
2660_txt_acq,6,1
2663_txt_earn,6,1
2664_txt_earn,6,1
2667_txt_earn,6,1
2688_txt_crude,6,1
2693_txt_earn,6,1
2699_txt_acq,6,1
2725_txt_interest,6,1
2728_txt_acq,6,1
2729_txt_earn,6,1
2752_txt_earn,6,1
2757_txt_earn,6,1
2767_txt_crude,6,1
2769_txt_acq,6,1
2772_txt_earn,6,1
2773_txt_earn,6,1
2775_txt_crude,6,1
2779_txt_earn,6,1
2783_txt_acq,6,1
2789_txt_earn,6,1
2799_txt_acq,6,1
2802_txt_acq,6,1
2806_txt_earn,6,1
2807_txt_earn,6,1
2809_txt_earn,6,1
2810_txt_acq,6,1
2838_txt_crude,6,1
2850_txt_earn,6,1
2862_txt_trade,6,1
2890_txt_earn,6,1
2897_txt_acq,6,1
322_txt_interest,6,1
3342_txt_crude,6,1
5244_txt_crude,6,1
7185_txt_earn,6,1
7352_txt_acq,6,1
9438_txt_earn,6,1
9841_txt_interest,6,1
11855_txt_earn,7,1
12398_txt_interest,7,1
12469_txt_interest,7,1
12732_txt_interest,7,2
13095_txt_acq,7,1
13321_txt_interest,7,1
13482_txt_trade,7,1
13543_txt_interest,7,1
13611_txt_crude,7,1
13633_txt_crude,7,1
13649_txt_trade,7,1
13714_txt_acq,7,1
13908_txt_trade,7,1
13946_txt_trade,7,1
13966_txt_earn,7,1
14012_txt_trade,7,1
14028_txt_acq,7,1
14099_txt_acq,7,1
14154_txt_acq,7,1
14199_txt_trade,7,1
14220_txt_trade,7,1
14263_txt_acq,7,1
14270_txt_interest,7,1
14282_txt_earn,7,1
14293_txt_interest,7,1
14324_txt_earn,7,1
14395_txt_crude,7,1
14427_txt_earn,7,1
14485_txt_acq,7,2
14517_txt_earn,7,1
14540_txt_earn,7,1
14542_txt_acq,7,1
14549_txt_earn,7,1
14550_txt_earn,7,1
14604_txt_acq,7,1
14622_txt_earn,7,1
14623_txt_acq,7,1
14626_txt_acq,7,1
14630_txt_earn,7,1
14642_txt_interest,7,1
14715_txt_acq,7,1
14729_txt_earn,7,1
14739_txt_trade,7,1
14751_txt_earn,7,1
16005_txt_crude,7,1
19546_txt_trade,7,1
19556_txt_crude,7,1
19760_txt_acq,7,1
20151_txt_earn,7,1
236_txt_crude,7,1
2809_txt_earn,7,1
2952_txt_interest,7,1
2953_txt_acq,7,1
3008_txt_earn,7,1
3377_txt_acq,7,1
5902_txt_acq,7,1
8624_txt_trade,7,1
8970_txt_earn,7,1
11580_txt_trade,8,1
13095_txt_acq,8,1
1409_txt_acq,8,1
14826_txt_trade,8,1
14843_txt_acq,8,1
14859_txt_earn,8,1
14865_txt_acq,8,1
14881_txt_trade,8,1
14904_txt_trade,8,1
14912_txt_trade,8,1
14954_txt_earn,8,1
14962_txt_earn,8,1
14971_txt_earn,8,1
14982_txt_acq,8,1
14995_txt_earn,8,1
15001_txt_acq,8,1
15004_txt_acq,8,1
15005_txt_earn,8,1
15006_txt_earn,8,1
15049_txt_interest,8,1
15052_txt_acq,8,1
15061_txt_acq,8,1
15078_txt_earn,8,1
15096_txt_interest,8,1
15107_txt_earn,8,1
15111_txt_acq,8,1
15121_txt_earn,8,1
15149_txt_acq,8,1
15154_txt_trade,8,1
15171_txt_trade,8,1
15197_txt_earn,8,1
15200_txt_crude,8,1
15217_txt_acq,8,1
15223_txt_trade,8,1
15227_txt_earn,8,1
15230_txt_crude,8,1
15239_txt_acq,8,1
15244_txt_crude,8,1
15276_txt_acq,8,1
15278_txt_earn,8,1
15283_txt_earn,8,1
15295_txt_earn,8,1
15296_txt_earn,8,1
15310_txt_interest,8,1
15312_txt_earn,8,1
15352_txt_trade,8,1
15354_txt_earn,8,1
15894_txt_acq,8,2
16074_txt_interest,8,1
16077_txt_crude,8,1
16163_txt_acq,8,1
16874_txt_acq,8,1
16939_txt_crude,8,1
17054_txt_crude,8,1
19760_txt_acq,8,1
2970_txt_crude,8,1
844_txt_acq,8,1
8799_txt_earn,8,1
9065_txt_crude,8,1
10947_txt_crude,9,1
13062_txt_earn,9,1
13095_txt_acq,9,1
15366_txt_acq,9,1
15384_txt_interest,9,1
15386_txt_trade,9,1
15396_txt_earn,9,1
15404_txt_acq,9,1
15410_txt_interest,9,1
15430_txt_trade,9,1
15447_txt_trade,9,1
15468_txt_acq,9,1
15476_txt_earn,9,1
15501_txt_acq,9,1
15550_txt_interest,9,2
15558_txt_earn,9,1
15560_txt_interest,9,1
15561_txt_acq,9,1
15570_txt_earn,9,1
15578_txt_interest,9,1
15579_txt_interest,9,1
15585_txt_earn,9,1
15600_txt_acq,9,1
15610_txt_interest,9,1
15617_txt_interest,9,1
15629_txt_acq,9,1
15664_txt_acq,9,1
15666_txt_trade,9,1
15674_txt_earn,9,1
15679_txt_earn,9,1
15691_txt_earn,9,1
15703_txt_earn,9,1
15708_txt_earn,9,1
15736_txt_earn,9,1
15739_txt_acq,9,1
15762_txt_earn,9,1
15778_txt_acq,9,1
15816_txt_interest,9,1
15821_txt_earn,9,1
15832_txt_earn,9,1
15840_txt_trade,9,1
15879_txt_acq,9,1
15885_txt_acq,9,1
15888_txt_earn,9,1
15894_txt_acq,9,1
15898_txt_acq,9,1
15900_txt_acq,9,1
15901_txt_earn,9,1
15939_txt_crude,9,1
15944_txt_earn,9,1
15961_txt_acq,9,1
15964_txt_crude,9,1
15984_txt_earn,9,1
16005_txt_crude,9,1
16015_txt_earn,9,1
16029_txt_acq,9,1
16037_txt_acq,9,1
16052_txt_trade,9,1
16075_txt_interest,9,1
16077_txt_crude,9,1
16163_txt_acq,9,1
16409_txt_acq,9,1
1684_txt_acq,9,1
16872_txt_acq,9,1
16910_txt_earn,9,1
17023_txt_trade,9,1
17086_txt_acq,9,1
18138_txt_acq,9,1
19448_txt_acq,9,1
19499_txt_crude,9,1
19556_txt_crude,9,1
19559_txt_crude,9,1
19683_txt_acq,9,1
20420_txt_crude,9,1
20457_txt_acq,9,1
20878_txt_crude,9,1
20919_txt_crude,9,1
21067_txt_crude,9,1
2973_txt_crude,9,1
2979_txt_interest,9,1
2985_txt_trade,9,1
2998_txt_crude,9,1
3003_txt_crude,9,1
3007_txt_interest,9,1
3008_txt_earn,9,1
3009_txt_acq,9,1
3025_txt_acq,9,1
3039_txt_acq,9,1
3043_txt_interest,9,1
3048_txt_crude,9,1
3071_txt_acq,9,1
3078_txt_trade,9,1
3092_txt_interest,9,1
3096_txt_acq,9,1
3103_txt_interest,9,1
3111_txt_interest,9,1
3115_txt_crude,9,1
3117_txt_earn,9,1
3118_txt_earn,9,1
3122_txt_interest,9,1
3128_txt_interest,9,1
3131_txt_interest,9,1
3133_txt_interest,9,1
3139_txt_acq,9,1
3189_txt_crude,9,1
3192_txt_interest,9,1
3198_txt_acq,9,1
3199_txt_trade,9,1
3204_txt_crude,9,1
3219_txt_interest,9,1
3253_txt_interest,9,1
3261_txt_acq,9,1
3264_txt_acq,9,1
3269_txt_earn,9,1
3290_txt_acq,9,1
3295_txt_acq,9,1
3302_txt_acq,9,1
3303_txt_crude,9,1
3332_txt_crude,9,1
3342_txt_crude,9,1
3344_txt_earn,9,1
3360_txt_interest,9,1
3364_txt_crude,9,1
3371_txt_interest,9,1
3377_txt_acq,9,1
3378_txt_acq,9,1
3387_txt_acq,9,1
3389_txt_crude,9,1
3400_txt_acq,9,1
3417_txt_acq,9,1
3430_txt_crude,9,1
4937_txt_acq,9,1
5054_txt_earn,9,1
5092_txt_earn,9,1
5516_txt_acq,9,1
6350_txt_interest,9,1
8103_txt_interest,9,1
8184_txt_interest,9,1
10054_txt_earn,10,1
10243_txt_earn,10,1
10310_txt_acq,10,1
10311_txt_acq,10,1
10601_txt_earn,10,1
10738_txt_earn,10,1
10822_txt_earn,10,1
10833_txt_earn,10,1
10870_txt_earn,10,1
10877_txt_earn,10,1
1090_txt_earn,10,2
10918_txt_acq,10,2
10947_txt_crude,10,2
11118_txt_crude,10,1
11123_txt_earn,10,2
11177_txt_acq,10,1
11192_txt_acq,10,1
11225_txt_trade,10,3
11260_txt_trade,10,1
11282_txt_earn,10,1
11492_txt_acq,10,1
11568_txt_earn,10,4
11628_txt_earn,10,1
11636_txt_earn,10,1
11822_txt_acq,10,1
11831_txt_interest,10,1
11933_txt_earn,10,1
11982_txt_acq,10,1
12063_txt_earn,10,1
1225_txt_earn,10,1
12250_txt_acq,10,1
12521_txt_earn,10,1
12658_txt_earn,10,1
12702_txt_acq,10,1
12774_txt_interest,10,1
12848_txt_trade,10,1
12883_txt_acq,10,1
12929_txt_earn,10,1
1306_txt_crude,10,1
13103_txt_acq,10,1
13115_txt_crude,10,3
13184_txt_crude,10,1
13280_txt_crude,10,2
1360_txt_earn,10,1
14826_txt_trade,10,1
14982_txt_acq,10,1
15078_txt_earn,10,3
15230_txt_crude,10,1
1541_txt_earn,10,1
15901_txt_earn,10,2
16074_txt_interest,10,1
1616_txt_crude,10,2
16163_txt_acq,10,1
16342_txt_earn,10,1
